created_at,entry_id,pm2_5,pm10,temp,trysnia,lageshtira,alarm_status
2019-09-24 20:36:25 CEST,1,6.4,18,23.2,99833,91.87,0
2019-09-24 20:37:19 CEST,2,6.5,19,23.2,99835,91.87,0
2019-09-24 20:38:13 CEST,3,6.5,19,23.2,99831,91.78,0
2019-09-24 20:39:07 CEST,4,6.4,19.4,25.4,99837,91.78,0
2019-09-24 20:40:01 CEST,5,6.4,19.7,24,99832,91.78,0
2019-09-24 20:40:55 CEST,6,6.4,19.6,23.6,99836,91.64,0
2019-09-24 20:41:49 CEST,7,6.4,19.5,23.5,99838,91.64,0
2019-09-24 20:42:43 CEST,8,6.5,19.9,23.5,99844,91.64,0
2019-09-24 20:43:37 CEST,9,6.5,20,23.5,99842,91.64,0
2019-09-24 20:44:31 CEST,10,6.5,19.5,23.4,99833,91.64,0
2019-09-24 20:45:25 CEST,11,6.4,19.3,23.3,99838,91.55,0
2019-09-24 20:46:19 CEST,12,6.3,18.6,23.3,99824,91.55,0
2019-09-24 20:47:22 CEST,13,5.3,16,23.3,99835,91.55,0
2019-09-24 20:48:16 CEST,14,5.3,16,23.3,99841,91.55,0
2019-09-24 20:49:10 CEST,15,5.3,15.8,23.3,99842,91.55,0
2019-09-24 20:50:04 CEST,16,5.3,15.1,23.4,99848,91.5,0
2019-09-24 20:50:58 CEST,17,5.4,16,23.5,99842,91.5,0
2019-09-24 20:51:52 CEST,18,5.3,15.7,23.5,99851,91.5,0
2019-09-24 20:52:46 CEST,19,5.4,16.3,23.4,99845,91.5,0
2019-09-24 20:53:40 CEST,20,5.4,16.2,23.5,99860,91.45,0
2019-09-24 20:54:34 CEST,21,5.4,16.3,23.4,99859,91.45,0
2019-09-24 20:55:28 CEST,22,5.5,16.3,23.4,99854,91.45,0
2019-09-24 20:56:22 CEST,23,5.5,16.1,23.4,99866,91.38,0
2019-09-24 20:57:16 CEST,24,5.5,15.6,23.3,99859,91.38,0
2019-09-24 20:58:10 CEST,25,5.5,16.8,23.3,99847,91.38,0
2019-09-24 20:59:04 CEST,26,5.6,16,23.4,99857,91.38,0
2019-09-24 20:59:58 CEST,27,5.6,15.9,23.4,99850,91.38,0
2019-09-24 21:00:52 CEST,28,5.7,15.5,23.3,99848,91.32,0
2019-09-24 21:01:45 CEST,29,5.7,16.1,23.3,99865,91.32,0
2019-09-24 21:02:39 CEST,30,5.7,17.2,23.2,99854,91.32,0
2019-09-24 21:03:33 CEST,31,5.7,18,23.1,99850,91.32,0
2019-09-24 21:04:27 CEST,32,5.8,18.8,23,99856,91.32,0
2019-09-24 21:05:21 CEST,33,5.8,19.2,23.1,99850,91.26,0
2019-09-24 21:06:15 CEST,34,5.8,19.2,23,99857,91.26,0
2019-09-24 21:07:09 CEST,35,5.9,18.8,23,99859,91.26,0
2019-09-24 21:08:03 CEST,36,5.9,19.2,23.1,99863,91.26,0
2019-09-24 21:09:00 CEST,37,6.1,20.1,23.2,99853,91.26,1
2019-09-24 21:09:57 CEST,38,6,20.4,23.3,99859,91.21,1
2019-09-24 21:10:54 CEST,39,6,20.3,26.7,99864,91.21,1
2019-09-24 21:11:51 CEST,40,6.1,20.1,23.7,99869,91.21,1
2019-09-24 21:12:45 CEST,41,6.1,19.5,23.6,99869,91.21,0
2019-09-24 21:13:39 CEST,42,6.1,19.7,23.5,99863,91.2,0
2019-09-24 21:14:33 CEST,43,6,19.7,23.6,99865,91.2,0
2019-09-24 21:15:27 CEST,44,6,19.2,23.5,99866,91.2,0
2019-09-24 21:16:21 CEST,45,6.1,19.4,23.4,99877,91.18,0
2019-09-24 21:17:15 CEST,46,6,19.9,23.2,99854,91.18,0
2019-09-24 21:18:09 CEST,47,5.9,18.9,23.2,99866,91.18,0
2019-09-24 21:19:03 CEST,48,5.9,19,23.3,99862,91.18,0
2019-09-24 21:19:57 CEST,49,5.9,19.4,23.2,99868,91.12,0
2019-09-24 21:20:54 CEST,50,6,20.5,23.2,99862,91.12,1
2019-09-24 21:21:52 CEST,51,6,20.6,23.1,99860,91.12,1
2019-09-24 21:22:49 CEST,52,5.9,20.9,23.1,99862,91.12,1
2019-09-24 21:23:46 CEST,53,6,21,23.1,99868,91.12,1
2019-09-24 21:24:43 CEST,54,6.1,21.1,23.1,99863,91.05,1
2019-09-24 21:25:40 CEST,55,6,20.1,23.2,99871,91.05,1
2019-09-24 21:26:34 CEST,56,5.9,19.7,23.2,99883,91.05,0
2019-09-24 21:27:27 CEST,57,5.9,19.7,23.2,99880,91.05,0
2019-09-24 21:28:24 CEST,58,5.9,22.2,23.2,99875,90.94,1
2019-09-24 21:29:21 CEST,59,5.9,21.8,23.2,99887,90.94,1
2019-09-24 21:30:18 CEST,60,5.9,20.6,23.2,99880,90.94,1
2019-09-24 21:31:15 CEST,61,6,20.7,23.1,99881,90.94,1
2019-09-24 21:32:12 CEST,62,5.9,20.1,23.1,99904,90.88,1
2019-09-24 21:33:06 CEST,63,6,19.7,23.1,99880,90.88,0
2019-09-24 21:34:03 CEST,64,5.9,20.3,23.1,99886,90.88,1
2019-09-24 21:34:57 CEST,65,5.9,20,23,99877,90.88,0
2019-09-24 21:35:51 CEST,66,5.9,19.8,23,99883,90.88,0
2019-09-24 21:36:45 CEST,67,5.8,18.8,23,99884,90.81,0
2019-09-24 21:37:39 CEST,68,5.8,18.6,22.9,99881,90.81,0
2019-09-24 21:38:33 CEST,69,5.9,19.9,23,99880,90.81,0
2019-09-24 21:39:27 CEST,70,5.9,19.9,22.9,99883,90.76,0
2019-09-24 21:40:20 CEST,71,6,20,22.9,99881,90.76,0
2019-09-24 21:41:14 CEST,72,6,19.9,22.9,99881,90.76,0
2019-09-24 21:42:11 CEST,73,6,20.1,22.9,99872,90.71,1
2019-09-24 21:43:08 CEST,74,6,20.1,23.1,99878,90.71,1
2019-09-24 21:44:05 CEST,75,6,20.6,23.1,99880,90.71,1
2019-09-24 21:45:02 CEST,76,6.1,20.5,23.1,99881,90.71,1
2019-09-24 21:45:59 CEST,77,6.1,20.7,23.2,99869,90.68,1
2019-09-24 21:46:56 CEST,78,6,20.7,23.1,99875,90.68,1
2019-09-24 21:47:50 CEST,79,6.1,19.6,23.1,99886,90.68,0
2019-09-24 21:48:44 CEST,80,6,18.6,23.2,99878,90.68,0
2019-09-24 21:49:38 CEST,81,6,18.5,23.2,99878,90.68,0
2019-09-24 21:50:32 CEST,82,6.1,18.7,23.2,99874,90.62,0
2019-09-24 21:51:26 CEST,83,6.1,18.8,23.2,99872,90.62,0
2019-09-24 21:52:20 CEST,84,6,18.8,23.2,99877,90.62,0
